Serial_No,airline,overall,author,review_date,customer_review,aircraft,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended,polarity scores,Sentiment Score, Rating,Sentiment Values
5261,British Airways,8,R Vines,23rd March 2019,"The First Class zone at Heathrow T5 and the Concorde Lounge are very good. Service on board was excellent in both directions. The cabin layout is unimpressive and the food is nothing to write home about. The screen is small, with poor resolution. I enjoyed the flights in both directions, mainly because of the service. This First does not compare well with that of Middle Eastern and Asian airlines, but BA business class is so poor, I either fly economy or (when I am very lucky) try to fly First.",Boeing 777,Solo Leisure,First Class,London to Mumbai,3/19/2019,4,5,2,3,4,4,yes,-0.404,Negative,22,-1
5262,British Airways,2,R Hamar,21st March 2019,I had a miserable experience in first class from London to Chicago. I had requested a special meal but that was not available. When I complained to customer relations they simply said too bad and insulted me by offering 10 K miles. The bathroom lacked amenities and i found the service was barebones. The angled suite is not private and when i stretched my feet hit a metal band in the middle of the foot rest. Video screen is small and must be stowed away 20 min before landing. Cabin crew never asked what I wanted and were only available when you press the call button. In flight entertainment is poor.,Boeing 777,Business,First Class,London to Chicago,3/19/2019,2,2,1,1,2,2,no,-0.8407,Negative,10,-1
5263,British Airways,1,G Meesan,11th March 2019,"Tampa to Gatwick. I paid to have my seats bumped up to business class and when I got to the airport they wouldn't let me on the flight because someone on their side messed up when they booked my seats, so instead of honoring my seats they just sat there for an hour telling me they can't do anything and I can't get on the plane. They waited till the very last second before the check in period closed to reissue my tickets and won't reimburse me for the seats that I paid for, but never received.",Boeing 777,Couple Leisure,Economy Class,Tampa to Gatwick,3/19/2019,2,2,2,2,1,1,no,0.1486,Neutral,10,0
5264,British Airways,1,S Beale,9th March 2019,"Gatwick to St Lucia return. Recently returned from a two week holiday with my wife in Caribbean for a 60th birthday celebration. Tickets bought in August 2018 and decided to spoil ourselves with a Club Class return, having flown out Premium Economy. Arrived at airport to be told that we'd been downgraded to Premium Economy due to overbooking. Apologetic ground staff (defending the indefensible) but no apology on the plane. Fuming all the way back to London, exacerbated by hopeless cabin staff service (tea when I asked for coffee) and filthy food. Complained on return through BA exec Club webiste with response from Customer Service 10 days later. BA claims that overbooking is a very rare occurrence and gave a lukewarm apology. Evidence from ground staff on both journeys contradicts this and it seems to be a standard occurrence during peak season. We booked early so probably had relatively cheap seats. BA has presumably made money by selling our tickets to a higher bidder. General quality of BA service, food...",Boeing 777,Couple Leisure,Business Class,Gatwick to St Lucia,2/19/2019,2,1,1,1,3,1,no,-0.9614,Negative,9,-1
5265,British Airways,9,Peter Comeau,8th March 2019,"It's been many years since I flew long haul British Airways and I was pleasantly surprised by recent flights. BA staff used to be offhand and inhospitable but that's all changed. From the time of arriving at London Heathrow T5 the staff have been really friendly and helpful. Similarly on the flight, the attendants couldn't do enough for me. When I requested tomato juice with Worcester sauce, the attendant made a special trip to the rear to get it. On the way back I asked for a tonic water and, again, they offered to go and get it. The seating of these newer planes allows me knee room, even though I'm 6ft 3ins and the headrest can be slid up high enough too. The entertainment system, though a little quirky in its operation and menu system compared to the slickness of Cathay Pacific, nevertheless had a good range of movies and TV to watch. Both flights ended up arriving on time, despite delays at Heathrow both ways, and the pilots kept us cheerfully informed as what was going on. Food quality was reasonable,...",Boeing 777,Business,Economy Class,London to Austin,2/19/2019,4,5,3,4,5,4,yes,0.9897,Positive,25,1
5266,British Airways,3,R Davis,4th March 2019,Edinburgh to Boston via London. The planes are ancient and need to be replaced. If these were cars they would have an antique plate. The seats are uncomfortable and worn. There is no lumbar support. The space between the seatback in front and your face is inches. ItÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s really claustrophobic. The food is awful and last evening we were not offered a choice. So for $1200 each we had horrible seats and terrible food. The short connecting flights do not even offer bottled water. The M&S menu is expensive and offers limited choices. Meal deals in the airport convenience and drug stores offer much better options for less than half the price. The planes on both long legs of the trip last week were filthy. The cabin crew on the BOS to LHR and LHR to EDI were good. There was one member in the LHR to BOS who was snippy to passengers and seemed put out by needing to do her job. Boarding is supposed to be by group but was a disaster as people queued up well before their section was called ...,B777,Couple Leisure,Economy Class,Edinburgh to Boston via London,3/19/2019,1,2,1,1,1,1,no,-0.8569,Negative,7,-1
5267,British Airways,3,E Mouton,3rd March 2019,"Gatwick to Mauritius. My wife and 2 friends booked and paid £56 each to select our seats with additional legroom adjacent to the bassinet stowage. On boarding the flight the configuration of the aircraft differed, meaning we had the same seat row and number but without the additional legroom. My formal complaint to BA has been met with what can only be described as condescending platitudes and a blank refusal to refund our seat booking fee. We feel that this a scam and are continuing to pursue the matter. Trading standards are also being informed. It didn help the aircraft was delayed by 4 hours on the outward leg, was filthy dirty. The return flight had numerous IFE defects and my seat recline did not work. I also noted a number of cabin minor airworthiness issues, (I am a licensed engineer). A marketing email in celebration of 100 years of service has thanked me for flying hundreds of thousands of miles with BA and then rips me off with nothing in return. British Airways you are a disgrace, get your act...",Boeing 777,Couple Leisure,Economy Class,Gatwick to Mauritius,2/19/2019,1,3,2,1,2,2,no,-0.9289,Negative,11,-1
5268,British Airways,1,D Gold,26th February 2019,"London to Chicago. Could it get any worse? The flight to Chicago was equipped with the usual ancient Boeing 747-400. The British Airways First Class product doesn't come up to modern Business Class standards. This particular flight was late again, and the food / wine was simply awful. There is nothing remotely elegant about BA First Class, and the crew demonstrate no sophistication. This experience was like dining at your worst restaurant chain. Finally, not only is the aircraft tired and worn out, but the in flight so-called entertainment system did not work, and had to be rebooted twice. The First Class seat is a bad joke, and extraordinarily uncomfortable. British Airways are at least twenty years out of date with their entire First Class product. All that can be said about this airline is woeful. The Concorde First Class lounge at Heathrow is filthy dirty, and desperately needs refurbishment.",Boeing 747-400,Business,First Class,London to Chicago,2/19/2019,1,2,1,1,1,1,no,-0.9703,Negative,7,-1
5269,British Airways,1,B Stauffer,23rd February 2019,"London to Johannesburg. Since the aircraft was half full, I was looking for a great flight. We left on time, and that was the only positive point. I started watching a movie, and a young flight attendant approached and asked for my dinner choice. I told her that I would love a G&T to start with, and then I will read the menu. She told me that this was a late evening departure (9pm is not late for me) and that no pre-dinner drinks would be served. I insisted (this is business class after all, half full flight). 30 minutes later, she brought a tray with everything on it (G&T, first dish, main dish, and dessert). Never was I offered wine or coffee. The lights were turned off, and I did not see a flight attendant until 1:30 hours before landing. Other passengers in business where treated the same and complained.",A380,Business,Business Class,London to Johannesburg,12/18/2019,2,1,1,3,4,1,no,0.8402,Positive,12,1
5270,British Airways,6,David Taylor,22nd February 2019,"Doha to London Heathrow. Flight on time, not completely full, had an aisle seat near back of plane without the entertainment box in the way. Some reviews say that the last few windows are blanked off at rear of the aircraft but not so on this plane. Breakfast was served which was OK. Cabin crew mixed, mostly young and worked quickly. Crew uniform still looks a bit tatty compared with rivals in this part of the world. There is good and bad still with BA - bad was the so called chicken wrap served just before arrival - leathery and inedible - why do they let themselves down with such a poor offering - hardly any passengers near me could eat it. Bad was that there was an old tissue and food wrapper in my seat pocket. Good was the newer aircraft and the breakfast has improved. Arrived on time at Heathrow but to a remote stand.",Boeing 787-9,Business,Economy Class,Doha to London Heathrow,2/19/2019,3,3,3,2,3,3,yes,-0.6504,Negative,17,-1
5271,British Airways,8,S Willetts,20th February 2019,"London to Seoul. I normally fly business but this was a last minute flight and the cost of Club was prohibitive and so I thought I would give World Traveller Plus a go. The cabin is stylish and intimate and I was surprised how roomy and comfortable the seats were. The entertainment system was working well (although the adverts before every single showing are very annoying). I was happy with the headphones and small amenity kit and felt the staff were very welcoming. My only complaint was the slightly pointless menu we were given as for lunch neither of the meals listed were actually available. A similar thing happened with breakfast, three options, the third being the most appetizing, and no, it hadn't been loaded, so this is an area BA might want to look into. All in all the service was good and worth the price. For ground service BA, please at least keep a couple of desks for people to check into before automation puts us all out of work.",Boeing 787-9,Business,Premium Economy,London to Seoul,2/19/2019,5,4,3,3,2,4,yes,0.9808,Positive,21,1
5272,British Airways,10,E Smyth,19th February 2019,"London Heathrow to New York JFK. Bag drop did not go well. Lounge (galleries north ) was good and not crowded. Boarding was fine, small delay, well organised. Pre take off drink was better than the one i got in club world 2 weeks previous. Main meal good, pre flight snack was average but my son really liked it. On time arrival, a good flight. Cabin crew included some of the older staff who are not mixed fleet crew and it stands out a mile. I thought this was a good flight.",Boeing 747-400,Family Leisure,Premium Economy,London to New York JFK,2/19/2019,4,5,4,5,5,4,yes,0.9334,Positive,27,1
5273,British Airways,8,Martin Griffiths,18th February 2019,"Gatwick to St Lucia. Flew BA new revamped business class today and a huge improvement on the old set up. Well lit cabin, improved seating comfort, better and operational entertainment system (always hit or miss before) and decent food. Cabin crew worked hard and were pleasant. I have observed along with everyone else the falling standards at BA and have moved most of my travel to rival airlines but on the basis of todayÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s experience I will consider them in the future. Much improved, well done.",Boeing 777,Business,Business Class,Gatwick to St Lucia,2/19/2019,4,4,4,4,3,3,yes,0.9432,Positive,22,1
5274,British Airways,2,G Beele,15th February 2019,"My husband and I flew on British Airways flight BA-228 from Baltimore to London Heathrow leaving on the 12th February 2019. Every aspect of the flight was poorer than what budget airlines have to offer. The plane was shabby and dated. The seat reclining facility did not operate properly, was not that comfortable, and we had less legroom than the equivalent with budget airlines. The touch screen TV monitor was not working properly. One ear bud on the headphones did not work. The audio socket was too loose for the headphones so the plug kept falling out making it difficult to enjoy the in-flight entertainment (which in itself had a dated choice). The pillow was disgusting and kept falling out of the flimsy cover. The air conditioning lacked consistency alternating between very hot and very cold air. The restroom occupied sign always lit up as vacant even if it was occupied. However what made the flight very unpleasant was the bad attitude of the cabin crew. They were abrupt, unfriendly and quite clearly did ...",Boeing 787,Couple Leisure,Economy Class,Baltimore to London Heathrow,2/19/2019,1,1,1,1,2,2,no,-0.9158,Negative,8,-1
5275,British Airways,2,Michael Papalamprou,12th February 2019,"London to Athens. Classic BA love and hate relationship where one flight is perfect and another one is a total disaster. Problems in December 2018 at Heathrow check-in when BA check-in and baggage management IT systems went down for at least 90 minutes. Total chaos with people like myself arrived at the airport 2:30 hours before the flight and queuing while others arriving 45 minutes prior to their departure and given priority. Even though we were checked in at some point, the flight was delayed by 2+ hours on top of the problems. Then flight does not have enough food onboard. At least the crew clearly attempted to reduce flight time to the minimum.",A320,Couple Leisure,Economy Class,London to Athens,12/18/2019,3,5,1,1,1,2,no,-0.5994,Negative,13,-1
5276,British Airways,9,Michael Papalamprou,12th February 2019,"Flying premium economy on British Airways from New Orleans to London was an absolute pleasure. The nine hour flight was an amazing experience, with great legroom, reclining seat for a nice sleep and low noise. Definitely recommend and will be flying premium on long haul again.",Boeing 787,Couple Leisure,Premium Economy,New Orleans to London,9/18/2019,5,4,5,5,4,5,yes,0.9552,Positive,28,1
5277,British Airways,7,L Beale,11th February 2019,"Tokyo to London. I was looking forward to this flight because of the Club World ticket and because it was my first time flying on a Boeing 787. We had a good check-in experience, breezed through the airport and enjoyed the JAL Lounge at Narita. We boarded on time and first impressions of the Boeing 787 were good: a modern plane with nice mood lighting as we boarded. The food and wines were really good. I had a beautifully-presented Japanese starter followed by a bento-style lunch as a final reminder of the holiday and my wife chose the western options. There was plenty of choice on the IFE and there was a big screen. On the downside, the cabin was too hot which made it difficult to sleep on the flight. This was a problem that we encountered on our outbound journey too. The seat was comfortable and reclined fully but I find the layout of BA Club World a little awkward because you have to step over another passenger's footrest to access the aisle. The cabin crew were efficient but seemed a bit exhausted and ...",Boeing 787-9,Couple Leisure,Business Class,Tokyo Narita to London Heathrow,1/19/2019,4,3,5,5,5,4,yes,0.9813,Positive,26,1
5278,British Airways,9,S Beale,11th February 2019,London to Tokyo Haneda. My wife and I treated ourselves to first class flights for our holiday to Japan with the help of my Avios and a BA Amex companion voucher. We were very excited about flying first class and the dedicated check-in area at Heathrow was great. We boarded on time and the cabin did not disappoint. We had very grand seats with lovely surroundings. The cabin staff who looked after us were fantastic and really took the time to get to know us and understand what we wanted. The food and alcoholic drinks were great. I went for beef main course followed by the amazing chocolate and toffee pudding. I was ready to sleep after all that food but saw that there was lots of choice and a large screen for the IFE. My wife and I both said afterwards that it didn't feel like a long-haul flight because the time passed so quickly and comfortably. My only complaint is that the cabin was uncomfortably hot while we were cruising which made it harder to sleep.,Boeing 777,Couple Leisure,First Class,London to Tokyo Haneda,1/19/2019,5,5,5,5,5,4,yes,0.9366,Positive,29,1
5279,British Airways,7,F Verneso,3rd February 2019,London Heathrow to Paris CDG. Quick and easy flight to Paris. Took just 40 minutes to reach CDG. Everything went well and the cabin was very clean. The only complaint was boarding which too way too long and was very unorganized.,A320,Family Leisure,Economy Class,London Heathrow to Paris CDG,11/18/2019,3,4,4,2,4,4,yes,0.7089,Positive,21,1
5280,British Airways,6,E Smyth,3rd February 2019,"Johannesburg to London. At Johannesburg used BA galleries lounge which was fine if a little busy. Plane boarded on time, very hot due to lack of auxiliary power unit, given aircraft at JNB all day, perhaps this could have been addressed. After take off the crew dispensed with pre dinner drinks and went straight for meal. Portions of starter very small, I was given someone elseÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s by mistake which was then taken away and given to him. I thought that originally the idea of the new Club World meal involved a trolley service but no sign of that. Main was good (beef), dessert was cheese, very small basic selection. Then bed, gap in seat made lie flat less comfortable. Breakfast was ok. Delay with baggage due to another aircraft technical issue (there seemed to be a few of these). Arrivals lounge was good. Overall an average experience.",A380,Family Leisure,Business Class,Johannesburg to London,2/19/2019,3,3,3,4,3,3,yes,0.8504,Positive,19,1
5281,British Airways,6,Tim Janssen,1st February 2019,"Berlin to Johannesburg via London. The short haul flight between Berlin and London was oKay, they don't include drinks or snacks anymore on short distance flights and prices onboard for them are compared to some low-cost carriers high. Because of an engine problem, the flights from LHR to JNB was delayed by 2:45h. British Airways gave £5 vouchers out to compensate for snacks and drinks. Inside the A380, the IFE boxes under the window seats take a big part of the available leg space.",A380 / A319,Solo Leisure,Economy Class,Berlin to Johannesburg via London,3/18/2019,3,3,2,3,4,4,yes,-0.4019,Negative,19,-1
5282,British Airways,7,S Vardeno,1st February 2019,New York JFK to London Heathrow with British Airways. An extremely average flight. Nothing stood out as good and nothing stood out as bad. The flight was smooth and felt quite short. The cabin crew was helpful and everything was comfortable. The inflight entertainment needed some work.,Boeing 777,Family Leisure,Economy Class,New York JFK to London Heathrow,8/18/2019,3,4,3,2,3,3,yes,0.8074,Positive,18,1
5283,British Airways,6,David Ellis,30th January 2019,"A380 boarding is always a nightmare, but it was complicated on this occasion by multiple pax in wheelchairs and a delayed show-up by the pilots. Fortunately, we still managed to take off more or less on time. The cabin crew responsible for our side of the First cabin was personable but lacked experience. The food served for dinner was a mixture of good and mediocre. Warm salmon on ice cold salad is never a pleasant experience. The seats in First are reasonably comfortable although they lack the privacy of competitors' premium cabin. The duvet was made redundant because of the typically overheated cabin. One of the First toilets was out of action so we had to make use of the Club World loos upstairs. It would have been helpful if cabin crew had apologised for the inconvenience for the lack of the convenience, but no comment was made. The IFE was passable and the sound quality good if one's own noise cancelling headphones are used. WiFi was available but I didn't make use of it. Breakfast was unremarkable an...",A380,Couple Leisure,First Class,Johannesburg to London,1/19/2019,4,3,3,3,3,3,yes,0.4492,Neutral,19,0
5284,British Airways,7,David Ellis,30th January 2019,"The 2-3-2 seating in the front section of Club World on the upper deck feels marginally less cramped than 2-4-2, but it's showing its age in contrast to other carriers. A full cabin also means queues for the two loos, although they're a lot more spacious than in First. The drinks and dinner service took a good couple of hours, but the revamped Club World food is definitely an improvement. The fish option for the main course was some of the best food I've had in the air. The White Company bedding does little to cushion the rather hard seats. Cabin crew were generally good and the CSM was particularly visible during the flight. Breakfast was improved with the option to pre-select items. Arrival was ahead of schedule.",A380,Couple Leisure,Business Class,London to Johannesburg,1/19/2019,3,4,4,3,3,3,yes,0.979,Positive,20,1
5285,British Airways,8,E Smyth,28th January 2019,"London to Johannesburg. Smooth check in via Club World desks. Fast track security was fast and got to lounge quickly. Lounge was ok, food a little better and staff seemed more attentive. We were able to use the spa which was nice. Showers were fine with no queues. Flight left on time. My first experience of the new Club World catering which seemed to go well Slept for 5 hours, lie flat on the newer aircraft is better than the older 777ÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s which (as my son says) have a gap between stool and seat sometimes. Crew on this sector were good and the FA serving our area was experienced and it showed. The CSD seemed to go through the motions only. Arrival fine and baggage was first on belt. A good flight",A380,Family Leisure,Business Class,London to Johannesburg,1/19/2019,4,5,4,5,4,4,yes,0.9579,Positive,26,1
5286,British Airways,1,G Meares,28th January 2019,"Whatever happened to the World's Favourite Airline? Returning from Bermuda to Gatwick we were presented with a worn-out Boeing 777. My seat table was broken with bits of seat plastic hanging off. I had to try and balance the seat tray on my knees so that the dinner tray could be kept flat, it didn't work, tray ended up on the floor with drinks and food. Reported this to steward who was clearly upset with my complaint and told me 'I'll put it in the book'. No apology, no attempt to explain, just irritation from him. The food was awful, neither my wife or I could finish it. It also seemed incomplete with no cheese and biscuits, and nothing to go on the salad. My wife's entertainment screen, didn't work, the passenger next to me screen didn't work and mine only worked intermittently. It look liked something from the Arc with the grid allowing the touch sensitivity clearly visible. I believe the 777s out of Gatwick are being updated, can't come a moment too soon. We purchased Premium Economy tickets for the th...",Boeing 777,Couple Leisure,Premium Economy,Bermuda to Gatwick,1/19/2019,1,1,1,1,3,1,no,0.1775,Neutral,8,0
5287,British Airways,2,S Hagen,25th January 2019,Miami to London. The breakfast served just before landing was terrible. A terrible croissant with some cream cheese with onions and a breakfast fruit bar. It was wrapped in cellophane. Hardly anyone ate it what a waste.,A380,Solo Leisure,Premium Economy,Miami to London,1/19/2019,3,4,1,3,3,3,no,-0.8402,Negative,17,-1
5288,British Airways,3,R Dawson,23rd January 2019,"Antigua to Gatwick. Apparently it is necessary to pay extra to get a decent seat by priority booking despite having paid the full cost of world traveler plus. We checked in as soon as the online check in was available to find that only 4 seats (for the 4 of us) remained unbooked. We had to take 2 seats on the front row where the seats had no under seat storage and were as narrow as the economy seats, and 2 on the back row where we were constantly bothered by the adjacent toilets. Only 1 loo each side between the economy and economy plus meant that there were always queues of people leaning against us. Cabin pressure was uncomfortably low, overnight temperature was stifling hot and few people got any sleep at all. Breakfast was a hard cold half sandwich with a hurried cup of tea or coffee. Impossible to get any drinks or refreshments between the service rounds. Tatty seat covers, broken foot rest, malfunctioning entertainment, broken tables requiring us to hold our food and drink between our knees. When ask...",Boeing 777-200,Couple Leisure,Premium Economy,Antigua to Gatwick,1/19/2019,1,2,2,3,4,1,no,-0.8935,Negative,13,-1
5289,British Airways,2,Derek Northcutt,22nd January 2019,"I understand completely why there is air rage in the skies when companies such as BOAC go out of their way to make the travel experience an stressful and unpleasant as is humanly possible. I paid $813 to fly r/t LAX-BUH and yet they want an extra $150 to have a desirable seat. I understand if you check-in 24 hours before departure you receive a seat from those available, but why is it they assign you the worst seat available when betters are there? In my case, they assigned me a middle seat on a 787 when both of the adjacent aisle seats are available to assign. It is baffling. The ground crew and the inflight staff are excellent but can do little with the oppressive business decisions their executives make - everything comes down to make every penny they can. And why am I flying BOAC? They owed me £25 from the last flight b/c the inflight entertainment system was inop for 1/2 the cabin and so we all had to sit in the dark with nothing to do for a twelve-hour flight. On top of that, their seats have so lit...",Boeing 787,Solo Leisure,Economy Class,Bucharest to London Heathrow to Los Angeles,1/19/2019,1,5,2,1,5,1,no,-0.1814,Negative,15,-1
